1140,putting,14
1141,approval,14
1142,store,14
1143,media,14
1144,believe,14
1145,overseeing,14
1146,education,14
1147,track,14
1148,focus,14
1149,current,14
1150,nation,14
1151,rocks,14
1152,estimated,14
1153,safer,14
1154,massachusetts,14
1155,repairs,14
1156,middletown,14
1157,release,14
1158,suggested,14
1159,potential,14
1160,proposed,14
1161,flow,14
1162,oversight,13
1163,lying,13
1164,address,13
1165,eventually,13
1166,limited,13
1167,stay,13
1168,cement,13
1169,dirt,13
1170,calling,13
1171,said.mr,13
1172,immigrant,13
1173,erected,13
1174,a.,13
1175,particularly,13
1176,thick,13
1177,roadway,13
1178,licensing,13
1179,unsafe,13
1180,simply,13
1181,loose,13
1182,neighboring,13
1183,trains,13
1184,ride,13
1185,fined,13
1186,2001,13
1187,williams,13
1188,living,13
1189,standing,13
1190,lifting,13
1191,sounded,13
1192,lanes,13
1193,spring,13
1194,rig,13
1195,initially,13
1196,attacks,13
1197,kurtaj,13
1198,documents,13
1199,replaced,13
1200,details,13
1201,scrutiny,13
1202,giant,13
1203,met,13
1204,oct.,13
1205,2005,13
1206,zoning,13
1207,neither,13
1208,critics,13
1209,appropriate,13
1210,intersection,13
1211,low,13
1212,obama,13
1213,region,13
1214,southern,13
1215,spoke,13
1216,denied,13
1217,ladder,13
1218,drive,13
1219,takes,13
1220,fifth,13
1221,parents,13
1222,increasing,13
1223,following,13
1224,expressed,13
1225,gov,13
1226,press,13
1227,master,13
1228,scores,13
1229,stephen,13
1230,repeatedly,13
1231,cross,13
1232,position,13
1233,pedestrian,13
1234,circle,13
1235,guard,13
1236,republican,13
1237,1999,13
1238,girl,13
1239,knife,13
1240,announced,13
1241,chemical,13
1242,recommendations,13
1243,sensors,13
1244,highways,13
1245,actually,13
1246,rapetti,13
1247,exploded,13
1248,atop,12
1249,bring,12
1250,fully,12
1251,important,12
1252,completely,12
1253,badly,12
1254,steps,12
1255,supposed,12
1256,contributed,12
1257,said.,12
1258,complete,12
1259,relatively,12
1260,pretty,12
1261,available,12
1262,bucket,12
1263,standard,12
1264,flying,12
1265,certain,12
1266,gruhn,12
1267,install,12
1268,cable,12
1269,1998,12
1270,executives,12
1271,6,12
1272,bad,12
1273,necessary,12
1274,borough,12
1275,together,12
1276,terrorist,12
1277,ms,12
1278,acting,12
1279,43,12
1280,confirmed,12
1281,separate,12
1282,dangling,12
1283,october,12
1284,clearly,12
1285,lend,12
1286,lease,12
1287,aug.,12
1288,height,12
1289,nyt,12
